Coeficiente,Intercept,Equação,RSS,RSE,SE_Theta0,SE_Theta1,R-squared
-0.9293835959541205,34.2587873406017,y = -0.92938*X + 34.25879,6700.100989485817,6.683362920708814,1.0790960072831197,0.07132807310108305,0.5616337488295298
-0.9641843983662969,34.72716331608994,y = -0.96418*X + 34.72716,5537.504036171391,6.075910925488946,0.9840900274966906,0.06720196851475296,0.5546847479563003
-0.9579461705763449,34.67953717041692,y = -0.95795*X + 34.67954,5663.628008450478,6.144714806753567,1.012072267696369,0.0708118613571461,0.5353173757009294
-0.9246504373691333,33.90560779886119,y = -0.92465*X + 33.90561,6808.18701553873,6.737055249656549,1.14133235903035,0.08021569416534467,0.5073397482984161
-0.878649025146453,33.558454143443555,y = -0.87865*X + 33.55845,6649.366974578918,6.658011201842443,1.0983257027988385,0.07579468285838577,0.5797036713060983
-0.9262081868159957,33.80662804317187,y = -0.92621*X + 33.80663,7202.835704145837,6.9295674247607675,1.1511491201386785,0.07840534759457912,0.512449722232395
-0.9232672849525012,34.03158698610076,y = -0.92327*X + 34.03159,6989.8156001458965,6.826329223502138,1.1430076990051934,0.07900576255373931,0.5202950806598198
-0.9484299130625657,34.48514227761548,y = -0.94843*X + 34.48514,4774.042068553659,5.641537655966772,0.9684501478380687,0.06580910163330286,0.5839388428490158
-0.9458143024575818,34.43031517672879,y = -0.94581*X + 34.43032,6702.437912062948,6.684528361354523,1.0853419090353658,0.07563582357216389,0.5168628796255079
-1.0070071117078876,35.27430558174036,y = -1.00701*X + 35.27431,5580.935136748778,6.099691323746789,0.9264014729543241,0.06291797261284295,0.540950280638245
-0.9177599034456216,33.7773658715562,y = -0.91776*X + 33.77737,8199.50249304141,7.393466707411983,1.1938662698554134,0.0834674654461663,0.48782302663576615
-0.9902949635591272,35.368368553426436,y = -0.99029*X + 35.36837,5303.688484182309,5.946252872850436,0.9972806124685111,0.0677418168585428,0.4986578058665416
-0.9365497035872695,34.52919575738444,y = -0.93655*X + 34.52920,4382.558489588106,5.405280436504108,0.9501737073294814,0.06406027328801155,0.6077358803422606
-0.9158095687186378,34.353882280638075,y = -0.91581*X + 34.35388,5440.359308474631,6.022380098972294,1.0689567462566418,0.07556122737360596,0.5579315135324983
-0.9659992462630611,34.908117154227384,y = -0.96600*X + 34.90812,5609.988558325047,6.1155477041853725,1.0293795622680286,0.07285754802966272,0.5075782097176738
-0.9425147100680055,34.19177143105603,y = -0.94251*X + 34.19177,6933.155096469257,6.798605296416443,1.1708870417055004,0.08369614363843658,0.46508218298386017
-0.9172355622758279,33.83474626881423,y = -0.91724*X + 33.83475,7127.276034636057,6.893125094196419,1.1440374341374862,0.08222637038391073,0.5012146943069202
-0.9467044263218781,34.31103441400363,y = -0.94670*X + 34.31103,6713.65394440509,6.690119054448926,1.0589951850720756,0.07361227442218661,0.5256841641931586
-0.9019915860652133,33.64503013734464,y = -0.90199*X + 33.64503,7359.287946060267,7.004421435093821,1.1480388094219178,0.08148052978456104,0.5202374760047661
-0.9220988960332362,34.12028077343385,y = -0.92210*X + 34.12028,5264.022860236326,5.923975500870074,0.976647029576026,0.0703579556646423,0.5810930841744175
-0.9136684642391728,33.94115531905932,y = -0.91367*X + 33.94116,7668.35430176226,7.149990350465405,1.1436982612267133,0.08171890051343506,0.509969838344065
-0.9609595282384935,34.735665736877614,y = -0.96096*X + 34.73567,5766.311900927665,6.200167686403148,1.001098234786969,0.06951775486400924,0.5415280354759634
-0.9124364172204433,34.08159887259536,y = -0.91244*X + 34.08160,5852.500135208261,6.246332329299737,1.0376115527979506,0.07117172978292016,0.5829337512555139
-0.9718719537500485,34.424991507510775,y = -0.97187*X + 34.42499,7864.014872137167,7.240632970552214,1.1096517351807151,0.07269165653361198,0.5080621115166319
-0.9411311215654038,34.341551801654234,y = -0.94113*X + 34.34155,6437.096802034477,6.550876176530117,1.0788167499790313,0.07563637540722308,0.5222627123934692
-0.9133668443884482,33.97366995779213,y = -0.91337*X + 33.97367,6458.679227641343,6.5618489404747,1.0897247031637554,0.07399980343975153,0.5618991763890571
-0.9780027563021283,34.76186035826509,y = -0.97800*X + 34.76186,5401.713207559957,6.000951706498982,0.9742175584239693,0.06358738032412062,0.5701290690943941
-0.9812423406933581,35.02669334864524,y = -0.98124*X + 35.02669,5042.645290311315,5.798071685374552,0.9789339348947502,0.06588515961836794,0.5366581381798974
-0.903512020487392,34.06876845593821,y = -0.90351*X + 34.06877,5837.968219394691,6.238572603512597,1.0736646381703612,0.07824543890416033,0.5586375157279075
-0.9781973036659372,34.86643966975817,y = -0.97820*X + 34.86644,5042.294934673346,5.797870261094928,0.9329761990936173,0.06541799381289788,0.5466636846392108
