Coeficiente,Intercept,Equação,RSS,RSE,SE_Theta0,SE_Theta1,R-squared
0.18345720418497105,9.343573833816517,y = 0.18346*X + 9.34357,873.8798159377511,3.8816096375391855,0.8757994414899023,0.033361290908921405,0.44537376671496076
0.19932209515466504,9.182008748737765,y = 0.19932*X + 9.18201,777.6400660624566,3.661637249360513,0.9668963335032422,0.03600180750814356,0.35935854625507946
0.18009248034419814,9.873365772362302,y = 0.18009*X + 9.87337,1006.4719052971268,4.16568888473842,0.9211696393228493,0.03415536556219238,0.4523465702976409
0.19598032387768682,9.301774607483903,y = 0.19598*X + 9.30177,1545.6671830341368,5.162308997943046,1.3445191942680212,0.044321431503118645,0.27172220143959125
0.19705933486636257,9.35436638758871,y = 0.19706*X + 9.35437,1119.6228409358782,4.39361378424428,0.9634850066976743,0.03263244742510677,0.41347203522734477
0.17520810235349532,9.702945927314655,y = 0.17521*X + 9.70295,910.4865380451447,3.9620756882471397,0.9287709631338412,0.0344853170255312,0.46723685146163696
0.18588128442132146,9.678060565375446,y = 0.18588*X + 9.67806,1153.9593778387894,4.460476582389834,1.0036151005730356,0.036758294635179316,0.4035614538078751
0.20588848497431966,9.18086932008961,y = 0.20589*X + 9.18087,1060.536549077506,4.276109553686553,1.0508098841456215,0.03631187557951538,0.32856497295306053
0.20313715471732952,9.198553059485057,y = 0.20314*X + 9.19855,974.0473416478771,4.09803851660573,0.9349691725268283,0.03411009950570199,0.37444913205425634
0.20684881808814398,9.19621488915545,y = 0.20685*X + 9.19621,966.3096015243531,4.081728845858031,1.0342351876450837,0.03680419431392454,0.31582331273718367
0.18989405299666687,9.495121609366063,y = 0.18989*X + 9.49512,979.3339947544816,4.109144542976953,0.9735675267772419,0.035807135587631295,0.4100447377224038
0.1912578005369603,9.648197897114539,y = 0.19126*X + 9.64820,1285.7725107650538,4.708342762046399,1.1124971007749889,0.03876407114437384,0.36179450328177865
0.2026269962105224,9.18831774521393,y = 0.20263*X + 9.18832,1297.3616154947458,4.729514109866536,1.0907936589690945,0.041089238460898625,0.29555892407401363
0.1905740574280671,9.614157668828058,y = 0.19057*X + 9.61416,1222.7814841394047,4.591561758455817,1.2439464774148683,0.04516337141348479,0.32025721208434843
0.20651254489845233,9.002629204198819,y = 0.20651*X + 9.00263,1064.910088422715,4.28491759149565,1.0963010301295906,0.03777951047395975,0.27944788975588464
0.20078366422322336,9.33495524834436,y = 0.20078*X + 9.33496,1025.3603891314303,4.204595985206874,1.0084435872537112,0.03700272754408449,0.3494937366857156
0.17635841607104286,9.973917830404691,y = 0.17636*X + 9.97392,1018.417041636139,4.190335847037551,0.9489177936505098,0.036436188662921476,0.4419856873498387
0.20219930134081843,9.27086467289644,y = 0.20220*X + 9.27086,911.9348921273224,3.9652257667761566,0.898274779821507,0.031686531029564584,0.41384975734262
0.18604387499708203,9.515244764175803,y = 0.18604*X + 9.51524,807.9499999161291,3.732314618617655,0.9227682125557296,0.03475531841865189,0.44756027731993464
0.19415356299414263,9.258785560610615,y = 0.19415*X + 9.25879,892.76505717129,3.923327794833347,0.9426454333848014,0.03506875320531264,0.3957201550662377
0.19635542315033444,9.431161346007553,y = 0.19636*X + 9.43116,846.7552916524018,3.8208937653932122,0.8655147677236522,0.03326699416131698,0.4217089863944632
0.1947273846759776,9.426551759511796,y = 0.19473*X + 9.42655,1046.1513441753793,4.247009788186839,1.1320854852727016,0.03978792621042047,0.34601534817745594
0.2171611088895379,8.809653502014498,y = 0.21716*X + 8.80965,1052.802889807379,4.260489873500017,0.9786995769067364,0.03809806624761269,0.23381475236784732
0.19762686112069358,9.319293126654156,y = 0.19763*X + 9.31929,810.6985574427212,3.7386576916347036,0.859698630472596,0.03331410842633573,0.4190647304524193
0.1895630294785502,9.31505009676503,y = 0.18956*X + 9.31505,1306.0295953953548,4.745287308977982,1.3008956780460652,0.04510201960311746,0.2787180274460047
0.24113920840288952,8.74949080290176,y = 0.24114*X + 8.74949,1655.3978536373502,5.34240978436625,1.2573877651539493,0.045447367917998326,-0.06012734073323989
0.21231817325527008,9.478443963743441,y = 0.21232*X + 9.47844,1296.3468927208812,4.72766416903608,1.1489071717561314,0.04102484706784677,0.20145681209603827
0.21548752158165385,9.393644954829329,y = 0.21549*X + 9.39364,1458.367649924613,5.0144062286861475,1.2282163175302239,0.042783074900645666,0.18514473728123038
0.17546627987530775,9.45127412912553,y = 0.17547*X + 9.45127,1076.9231303187623,4.309018470360703,0.9942194844121847,0.0353101701425643,0.39819460565124853
0.19423633550106884,9.317522688921958,y = 0.19424*X + 9.31752,875.9722377702376,3.8862539310662956,0.9167961695148833,0.034002914123284565,0.41465341487816154
